occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q1662561,paleontologist,scientist specialising in paleontology
http://www.wikidata.org/entity/Q15958754,broadcaster,person working in broadcasting
http://www.wikidata.org/entity/Q1227197,social pedagogue,profession
http://www.wikidata.org/entity/Q125482,imam,Islamic leadership position
http://www.wikidata.org/entity/Q1662050,industrial management assistant,commercial apprenticeship
http://www.wikidata.org/entity/Q17221,spokesperson,someone engaged or elected to speak on behalf of others
http://www.wikidata.org/entity/Q10694573,textile artist,"person who creates art objects using plant, animal, or synthetic fibers"
http://www.wikidata.org/entity/Q30341438,quiltmaker,artisan who makes quilts
http://www.wikidata.org/entity/Q4220892,film critic,journalist who is dealing with films
http://www.wikidata.org/entity/Q11085831,interpreter,person who works with translating and communicating oral texts in different languages
http://www.wikidata.org/entity/Q60233168,political historian,person who is engaged in political history
http://www.wikidata.org/entity/Q1294787,artisan,skilled craft worker who makes or creates things by hand
http://www.wikidata.org/entity/Q4178004,publicist,"person who manages publicity for a public figure, a business or a work"
http://www.wikidata.org/entity/Q15936497,Africanist,profession; specialist in African studies
http://www.wikidata.org/entity/Q26759595,communication scholar,occupation
http://www.wikidata.org/entity/Q13235160,manufacturer,individual or organization that creates goods
http://www.wikidata.org/entity/Q19827218,ultramarathon runner,long distance runner competing in races longer than 42.195 km
http://www.wikidata.org/entity/Q267936,executive director,"chief executive officer (CEO) or managing director of an organization, company, or corporation, who serves as a board member"
http://www.wikidata.org/entity/Q59913751,urban theorist,profession; social scientist specialized in urbanism
http://www.wikidata.org/entity/Q10355417,advertising person,person concerned with the creation of advertisments
http://www.wikidata.org/entity/Q26973007,professor of philosophy,teacher of philosophy at a university or college
http://www.wikidata.org/entity/Q3264451,cardiologist,physician who specializes in cardiology
http://www.wikidata.org/entity/Q2135469,legal counselor,legal professional providing legal advice
http://www.wikidata.org/entity/Q131524,entrepreneur,"business legal entity which organizes and operates an enterprise, in order to conduct economic activity"
http://www.wikidata.org/entity/Q1266283,senior lecturer,academic rank
http://www.wikidata.org/entity/Q1125292,postdoctoral researcher,person professionally conducting research after the completion of their doctoral studies
http://www.wikidata.org/entity/Q16314501,encyclopedist,writer or compiler of encyclopedias
http://www.wikidata.org/entity/Q21993562,cultural activist,occupation
http://www.wikidata.org/entity/Q828395,social policy,measures by governments or institutions which aim to improve or reform society
http://www.wikidata.org/entity/Q2297554,history of feminism,chronological narrative of the movements and ideologies aimed at equal rights for women
http://www.wikidata.org/entity/Q15472169,patron of the arts,person who engages in patronage
http://www.wikidata.org/entity/Q806798,banker,person who manages or owns a bank
http://www.wikidata.org/entity/Q56224063,bookkeeper,profession; person who records the accounts or transactions of a business
http://www.wikidata.org/entity/Q67205775,seamstress,person employed to sew
http://www.wikidata.org/entity/Q2640827,gynaecologist,physician who specialized in gynecology
http://www.wikidata.org/entity/Q356139,proofreader,profession
http://www.wikidata.org/entity/Q47492833,civil libertarian,
http://www.wikidata.org/entity/Q11079476,digital artist,artist who works in the digital medium
http://www.wikidata.org/entity/Q1414443,filmmaker,creator of a cinematic work
http://www.wikidata.org/entity/Q53834886,woman human rights defenders,woman who defends human rights or people who defend women's rights
http://www.wikidata.org/entity/Q3406834,school teacher,primary school teacher in France
http://www.wikidata.org/entity/Q16063546,historian of science,humanist who is engaged in history of science
http://www.wikidata.org/entity/Q736415,conferencier,host of a cabaret or variety show who introduces acts and entertains between them
http://www.wikidata.org/entity/Q37987929,plant ecologist,scientist specializing in the ecology of plants
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead"
http://www.wikidata.org/entity/Q15982858,motivational speaker,speaker intended to motivate the audience
http://www.wikidata.org/entity/Q66288471,trans activist,person who advocates for the rights of transgender people
http://www.wikidata.org/entity/Q99761949,anti-racist,person who opposes racism
http://www.wikidata.org/entity/Q703534,employee,person who works for an employer
http://www.wikidata.org/entity/Q28528560,communist,person who believes that communism can be accomplished
http://www.wikidata.org/entity/Q1459149,schoolmaster,male school teacher
http://www.wikidata.org/entity/Q50940853,school director,the administrative head of a school
http://www.wikidata.org/entity/Q2024200,telegraphist,operator who uses a telegraph key to send and receive the Morse code
http://www.wikidata.org/entity/Q388338,treasurer,person responsible for running the treasury of an organization
http://www.wikidata.org/entity/Q51167455,female supporter of women's right to vote,
http://www.wikidata.org/entity/Q2085381,publisher,company that prints and distributes pressed goods or electronic media
http://www.wikidata.org/entity/Q18810149,stenographer,occupation
http://www.wikidata.org/entity/Q3610436,personal stylist,person who selects or recommends clothing and accessories for a client
http://www.wikidata.org/entity/Q2873500,adventurer,person who seeks adventures
http://www.wikidata.org/entity/Q708492,council member,representative of voters to a local government
http://www.wikidata.org/entity/Q9352089,spy,person engaged obtaining information that is considered secret or confidential
http://www.wikidata.org/entity/Q780596,exhibition curator,person in charge of organising an exhibition
http://www.wikidata.org/entity/Q41583,coach,"person involved in directing, instructing and training sportspeople"
http://www.wikidata.org/entity/Q45217546,Instagram blogger,blogger posting on Instagram
http://www.wikidata.org/entity/Q627325,graphic designer,"professional who assembles images, typography or motion graphics to create a piece of design"
http://www.wikidata.org/entity/Q20873384,historian of classical antiquity,
http://www.wikidata.org/entity/Q22813352,traveler,person who travels or makes voyages
http://www.wikidata.org/entity/Q384593,police officer,warranted employee of a police force
http://www.wikidata.org/entity/Q11937692,Mosso d'Esquadra,officer in the Catalan police
http://www.wikidata.org/entity/Q10297252,crime fiction writer,writer writing fiction about crime
http://www.wikidata.org/entity/Q10547393,local politician,"politician involved in local, as opposed to national, government"
http://www.wikidata.org/entity/Q15634281,virologist,scientist who deals with viruses
http://www.wikidata.org/entity/Q219477,missionary,member of a religious group sent to do evangelism
http://www.wikidata.org/entity/Q5819949,social educator,person whose profession is social education
http://www.wikidata.org/entity/Q386854,drummer,percussionist who creates and accompanies music using drums
http://www.wikidata.org/entity/Q12713481,laborer,low-skilled or unskilled worker in manual-labour occupations and industrial work; usually for a wage
http://www.wikidata.org/entity/Q48705382,syndicalist,"person who promotes syndicalism, an economic system"
http://www.wikidata.org/entity/Q5341297,educational psychologist,profession
http://www.wikidata.org/entity/Q21281706,academic administrator,profession
http://www.wikidata.org/entity/Q33112378,clubwoman,woman active in club-based social or community affairs
http://www.wikidata.org/entity/Q98813131,school psychologist,psychologist that investigates processes of learning and teaching and develops psychological principles and techniques applicable to educational problems
http://www.wikidata.org/entity/Q107983063,women's studies scholar,profession
http://www.wikidata.org/entity/Q7621877,strategist,person with responsibility for the formulation and implementation of a strategy
http://www.wikidata.org/entity/Q2252262,rapper,artist who speaks rhymes in a rhythm over music
http://www.wikidata.org/entity/Q12406482,humorist,intellectual who uses humor in writing or public speaking
http://www.wikidata.org/entity/Q2309784,sport cyclist,someone who competes in the sport of cycling
http://www.wikidata.org/entity/Q2145981,restorer,person who repairs damaged works of art
http://www.wikidata.org/entity/Q5322166,designer,person who designs
http://www.wikidata.org/entity/Q1771040,stringer,freelance journalist
http://www.wikidata.org/entity/Q30131998,cultural anthropologist,scholar of cultural anthropology
http://www.wikidata.org/entity/Q47520669,diplomatician,person who studies the protocols of documents
http://www.wikidata.org/entity/Q17488363,economic historian,humanist who is engaged in economic history
http://www.wikidata.org/entity/Q1155838,correspondent,journalist contributing reports from a remote location
http://www.wikidata.org/entity/Q164236,war correspondent,journalist specializing in coverage of armed conflicts
http://www.wikidata.org/entity/Q1524582,rancher,person who raises livestock on a ranch
http://www.wikidata.org/entity/Q37868118,textbook writer,writers of textbooks
http://www.wikidata.org/entity/Q50768646,labor leader,leader of labor activists
http://www.wikidata.org/entity/Q10509151,primary school teacher,teachers of primary school students
http://www.wikidata.org/entity/Q620413,paralegal,professional of legal science that performs  as part of a legal assistance system
http://www.wikidata.org/entity/Q111535220,nonprofit administrator,profession
http://www.wikidata.org/entity/Q26481809,sports executive,role concerned with the business side of sports
http://www.wikidata.org/entity/Q16060693,conservationist,person who seeks to protect natural resources including animal and plant species as well as their habitat for the future
http://www.wikidata.org/entity/Q5758653,high school teacher,teaching post
http://www.wikidata.org/entity/Q88202189,language activist,
http://www.wikidata.org/entity/Q11571698,independence activist,
http://www.wikidata.org/entity/Q17378128,spoken word artist,writer-performer of spoken word poetry
http://www.wikidata.org/entity/Q24705156,broadcast journalist,journalist working in a broadcast medium such as television or radio
http://www.wikidata.org/entity/Q12797895,occultist,occupation; study of occult practices
http://www.wikidata.org/entity/Q2043121,community service,non-paying job for the benefit of community
http://www.wikidata.org/entity/Q24266767,newspaper proprietor,person owning or publishing a newspaper
http://www.wikidata.org/entity/Q1500610,community leader,person perceived to represent a community
http://www.wikidata.org/entity/Q874894,window dresser,type of retail worker
http://www.wikidata.org/entity/Q2133309,interior designer,"person who designs the interior decoration of a room or building; who plans, researches, coordinates, and manages such projects"
http://www.wikidata.org/entity/Q22811707,decorator,person who decorates for a living
http://www.wikidata.org/entity/Q998550,bookseller,person or other agent selling books
http://www.wikidata.org/entity/Q3427922,restaurateur,person who opens and runs restaurants professionally
http://www.wikidata.org/entity/Q10416136,Q10416136,
http://www.wikidata.org/entity/Q16624872,washerwoman,"service occupation, generally of women"
http://www.wikidata.org/entity/Q1706722,research fellow,employees or officials at a university or a research institute who undertake research
http://www.wikidata.org/entity/Q21546011,labor economist,profession
http://www.wikidata.org/entity/Q116234785,Q116234785,
http://www.wikidata.org/entity/Q1338119,Freiherr,title of nobility in Germany and Scandinavia
http://www.wikidata.org/entity/Q123163947,Q123163947,
http://www.wikidata.org/entity/Q11479517,handicrafter,profession
http://www.wikidata.org/entity/Q17489339,historian of Modern Age,person who studies modern history
http://www.wikidata.org/entity/Q5403434,ethicist,moral principle analyst
http://www.wikidata.org/entity/Q203184,First Lady,honorary title of the wife of a president or head of state
http://www.wikidata.org/entity/Q5673576,gestor,
http://www.wikidata.org/entity/Q55187,hairdresser,person whose occupation is to cut or style hair
http://www.wikidata.org/entity/Q6673651,literary,person who works on literature
http://www.wikidata.org/entity/Q62082534,parliamentary aide,
http://www.wikidata.org/entity/Q1235146,documentary filmmaker,director or producer of documentary films
http://www.wikidata.org/entity/Q6501749,general secretary,leader or chief officer of an organisation
http://www.wikidata.org/entity/Q2393361,dance teacher,occupation
http://www.wikidata.org/entity/Q4991371,soldier,member of the armed forces
http://www.wikidata.org/entity/Q15986539,sports official,official in a sports organization
http://www.wikidata.org/entity/Q2004963,numismatist,"person studying currencies, coins or paper money"
http://www.wikidata.org/entity/Q21694753,semiologist,
http://www.wikidata.org/entity/Q1569495,lecturer,expert who is hired to teach on a full or part time basis
http://www.wikidata.org/entity/Q16012028,legal scholar,researcher who focuses on legal issues
http://www.wikidata.org/entity/Q63677188,law professor,university teacher teaching law
http://www.wikidata.org/entity/Q16626706,family therapist,psychotherapist trained in family therapy
http://www.wikidata.org/entity/Q16254673,pamphleteer,someone who creates or distributes pamphlets
http://www.wikidata.org/entity/Q1235152,documentalist,kind of librarian trained in documentation science and specializing in assisting researchers in their search for scientific and technical documentation
http://www.wikidata.org/entity/Q484876,chief executive officer,highest-ranking corporate officer
http://www.wikidata.org/entity/Q685433,salesperson,person whose job it is to sell things; for property consultant use Q124728671
http://www.wikidata.org/entity/Q2070313,teaching assistant,position
http://www.wikidata.org/entity/Q6817463,mental health counselor,person who works with individuals and groups to promote optimum mental and emotional health
http://www.wikidata.org/entity/Q24716636,volunteer,participant in voluntary work
http://www.wikidata.org/entity/Q937857,association football player,person who plays association football (soccer)
http://www.wikidata.org/entity/Q5803091,shop assistant,occupation
http://www.wikidata.org/entity/Q2058873,slam poet,creator of slam poetry or participant in a poetry slam
http://www.wikidata.org/entity/Q16138122,human rights lawyer,
http://www.wikidata.org/entity/Q19890746,Internet activist,activist whose cause concerns (in part or in whole) the Internet
http://www.wikidata.org/entity/Q2034021,dressmaker,person who makes custom clothing for men and women
http://www.wikidata.org/entity/Q215536,merchant,businessperson who trades in commodities that were produced by others
http://www.wikidata.org/entity/Q486748,pianist,musician who plays the piano
http://www.wikidata.org/entity/Q14915627,musicologist,person who studies music as a branch of knowledge or field of research as distinct from composition or performance
http://www.wikidata.org/entity/Q83307,minister,"politician who holds significant civil public office in a national or regional government, generally heading a ministry"
http://www.wikidata.org/entity/Q85305832,children's rights activist,
http://www.wikidata.org/entity/Q13416803,epidemiologist,researcher on how diseases are spread
http://www.wikidata.org/entity/Q2737906,videographer,person who works in the field of videography
http://www.wikidata.org/entity/Q10265290,Brazilian state deputy,member of a Brazilian federal state Legislative Assembly
http://www.wikidata.org/entity/Q28532974,community organizer,occupation
http://www.wikidata.org/entity/Q1350157,music critic,person who writes reviews about music performances or recordings
http://www.wikidata.org/entity/Q17167049,literary scholar,specialist in study of literature
http://www.wikidata.org/entity/Q3147441,rector,ecclesiastical profession
http://www.wikidata.org/entity/Q1366909,soccer commentator,profession
http://www.wikidata.org/entity/Q2986228,sports commentator,sports broadcaster who comments a live event
http://www.wikidata.org/entity/Q45725048,anti-nuclear activist,
http://www.wikidata.org/entity/Q644687,illustrator,narrative artist who makes images for printed and electronic products
http://www.wikidata.org/entity/Q2419397,therapist,person skilled in a particular kind of therapy
http://www.wikidata.org/entity/Q3104508,cultural manager,"person who promotes, manages, and executes cultural projects or programs"
http://www.wikidata.org/entity/Q202883,veterinarian,"professional who treats disease, disorder, and injury in animals"
http://www.wikidata.org/entity/Q13342461,dog breeder,occupation
http://www.wikidata.org/entity/Q65274801,militiaman,member of a milita
http://www.wikidata.org/entity/Q21234364,radio director,profession; agent responsible for the general management and supervision of a radio program
http://www.wikidata.org/entity/Q2752318,cosmetologist,"person who performs cosmetic treatments to hair, skin, and nails"
http://www.wikidata.org/entity/Q11122954,waka poet,person who composes Waka or Tanka
http://www.wikidata.org/entity/Q1328668,gravure idol,"Japanese female model who models for magazines, photobooks or movies, intended to be provocative or suggestive"
http://www.wikidata.org/entity/Q48282,student,"learner, or someone who attends an educational institution"
http://www.wikidata.org/entity/Q860918,Esperantist,person speaking or using the international language Esperanto
http://www.wikidata.org/entity/Q520549,geologist,scientist who studies geology
http://www.wikidata.org/entity/Q2312637,physical education teacher,occupation
http://www.wikidata.org/entity/Q11513337,athletics competitor,"sportsperson that competes in athletics (track and field, running, walking)"
http://www.wikidata.org/entity/Q2599593,germanist,scholar specialising in the German language or culture or literature
http://www.wikidata.org/entity/Q3640160,marine biologist,scientist specializing in marine biology
http://www.wikidata.org/entity/Q28004591,professeur des universités,"type of position in French university, that gives the ""professor"" title"
http://www.wikidata.org/entity/Q822146,lyricist,writer of song lyrics
http://www.wikidata.org/entity/Q852389,beekeeper,person who keeps honey bees
http://www.wikidata.org/entity/Q373085,chancellor,executive position in a government
http://www.wikidata.org/entity/Q1919436,pediatrician,physician with medical specialty pediatrics
http://www.wikidata.org/entity/Q3332711,medievalist,"historian, scientist or expert in medieval studies"
http://www.wikidata.org/entity/Q26701778,health administrator,administrator working in the health sector
http://www.wikidata.org/entity/Q1331070,abortion-rights movement,social movement advocating for legal access to induced abortion services
http://www.wikidata.org/entity/Q100552979,history-geography teacher,
http://www.wikidata.org/entity/Q805221,ballet dancer,person who practices the art of ballet
http://www.wikidata.org/entity/Q1323191,costume designer,"person who designs costumes for a film, stage production or television show"
http://www.wikidata.org/entity/Q2490358,choreographer,person who creates choreographies
http://www.wikidata.org/entity/Q1419997,event producer,"person specializing in planning and execution of parties, events, exhibitions, meetings, conventions, weddings and other things"
http://www.wikidata.org/entity/Q12716775,Marxist,person who supports Marxism
http://www.wikidata.org/entity/Q48930480,philosophy teacher,teacher of philosophy at any level
http://www.wikidata.org/entity/Q713200,performing artist,"artist who participates in performing arts in front of an audience: actors, comedians, dancers, magicians, circus artists, musicians, singers"
http://www.wikidata.org/entity/Q12336252,social entrepreneur,occupation
http://www.wikidata.org/entity/Q630993,bertsolari,"profession; a singer of bertso, a musical verse in Basque tradition"
http://www.wikidata.org/entity/Q897359,day labourer,worker hired and paid one day at a time
http://www.wikidata.org/entity/Q60456278,secularist,"one who, discarding as irrelevant all theories bearing upon the other world, holds that we ought to confine our attention solely to the immediate problems and duties of this, independently of all presumed dependence on revelation from a higher sphere"
http://www.wikidata.org/entity/Q583271,spiritual medium,person said to mediate communication between spirits of the dead and other human beings
http://www.wikidata.org/entity/Q1726903,criminalist,profession
http://www.wikidata.org/entity/Q10272925,agricultural engineer,engineering profession
http://www.wikidata.org/entity/Q66300521,nurse administrator,nurse professionally qualified in administration
http://www.wikidata.org/entity/Q106399618,nationalist,person advocating national independence or a strong national government
http://www.wikidata.org/entity/Q7623053,street protester,person partaking in a public protest against a cause of concern
http://www.wikidata.org/entity/Q21477194,contemporary artist,artist of the 20th century or in the 21st century
http://www.wikidata.org/entity/Q7888586,chemical engineer,professional in the field of chemical engineering
http://www.wikidata.org/entity/Q101067779,environmental defender,individual or group that strives to protect and promote human rights relating to the environment
http://www.wikidata.org/entity/Q1737057,Q1737057,
http://www.wikidata.org/entity/Q56404221,holder of the procuration,"person who has power of attorney from a businessman or a company to enter into contracts on their behalf, and cannot transfer the power of attorney to another person"
http://www.wikidata.org/entity/Q1072363,chief officer,highest-ranked corporate officer of a given type
http://www.wikidata.org/entity/Q4504549,religious servant,member of a religious community
http://www.wikidata.org/entity/Q23670153,president of a non-profit organisation,
http://www.wikidata.org/entity/Q18545066,stand-up comedian,comedian of stand-up comedy
http://www.wikidata.org/entity/Q101444601,French teacher,person who teaches the French language
http://www.wikidata.org/entity/Q63619823,abortion rights activist,person who advocates for the right to abortion
http://www.wikidata.org/entity/Q12008505,academic librarian,librarian of an academic library
http://www.wikidata.org/entity/Q61857538,disability rights activist,activist or advocate for the civil rights of people with disabilities
http://www.wikidata.org/entity/Q124516127,para table tennis player,sportsperson taking part in para table tennis competitions
http://www.wikidata.org/entity/Q1122364,indentured servant,ostensibly temporary slave via contract
http://www.wikidata.org/entity/Q96036530,health activist,person campaigning in favour of health and access to health care
http://www.wikidata.org/entity/Q11814411,documentarian,author of documentaries
http://www.wikidata.org/entity/Q715301,comics artist,person who creates the artwork for comics
http://www.wikidata.org/entity/Q1906857,mechanical engineer,specialized engineer
http://www.wikidata.org/entity/Q832136,business manager,"person who manages the business affairs of an individual, institution, organization, or company"
http://www.wikidata.org/entity/Q12031226,founder,worker specialized in metal casting
http://www.wikidata.org/entity/Q1954956,musical theatre actor,actor and singer performing in musical theatre
http://www.wikidata.org/entity/Q7063944,railway worker,occupation related to railroad networking
http://www.wikidata.org/entity/Q10535290,manufacturing worker,"person which is directly involved in manufacturing, i.e. hands-on"
http://www.wikidata.org/entity/Q23038345,Wikipedian,contributor to Wikipedia
http://www.wikidata.org/entity/Q29392795,psychopedagogue,
http://www.wikidata.org/entity/Q156839,cook,occupation involving cooking food
http://www.wikidata.org/entity/Q211423,goldsmith,metalworker who specializes in working with gold and other precious metals
http://www.wikidata.org/entity/Q500251,ship-owner,businessperson who owns or charters ships
http://www.wikidata.org/entity/Q12307965,debater,person who participates in a debate
http://www.wikidata.org/entity/Q2468727,classical scholar,"person who studies classics, the culture of (mainly) Ancient Greece and Ancient Rome"
http://www.wikidata.org/entity/Q140686,chairperson,"leading or presiding officer of an organized group such as a board, committee, or deliberative assembly"
http://www.wikidata.org/entity/Q1114448,cartoonist,"visual artist who creates cartoons (single images, animation film stills, comics, graphic novels and so on), not necessarily in a humorous style"
http://www.wikidata.org/entity/Q2055046,physiologist,scientist who studies the function of living systems
http://www.wikidata.org/entity/Q4531850,endocrinologist,scientist who studies the endocrine system
http://www.wikidata.org/entity/Q381160,expert,person with broad and profound competence in a particular field
http://www.wikidata.org/entity/Q15837695,organizational consulting,external guidance to improve the structure and processes in an organization
http://www.wikidata.org/entity/Q42673468,naturopath,profession
http://www.wikidata.org/entity/Q1749879,pensioner,"person who collects a pension, most commonly because of a retirement from the workforce"
http://www.wikidata.org/entity/Q1113899,clinical psychologist,profession
http://www.wikidata.org/entity/Q17504992,social historian,humanist who is engaged in social history
http://www.wikidata.org/entity/Q95918159,consumer rights activist,
http://www.wikidata.org/entity/Q2906862,influencer,person who uses their social media activity to influence buying decisions
http://www.wikidata.org/entity/Q7886765,union organizer,specific type of trade union member (often elected) or an appointed union official
http://www.wikidata.org/entity/Q47262408,Q47262408,
http://www.wikidata.org/entity/Q901222,tutor,instructor who gives private lessons
http://www.wikidata.org/entity/Q2500638,creator,person who does creative work
http://www.wikidata.org/entity/Q2313151,house servant,worker within an employer's household
http://www.wikidata.org/entity/Q466640,horse trainer,"person training horses for racing, riding, show or work"
http://www.wikidata.org/entity/Q58287519,video game developer,person responsible for developing video games
http://www.wikidata.org/entity/Q18931911,theorist,person who develops theories in a field
http://www.wikidata.org/entity/Q19890761,artivist,occupation
http://www.wikidata.org/entity/Q2478141,aristocrat,a person who either possesses hereditary titles granted by a monarch or is related to such people
http://www.wikidata.org/entity/Q17048963,advokat,lawyers who practise in the Nordic countries
http://www.wikidata.org/entity/Q101539,flight attendant,position in an aircrew
http://www.wikidata.org/entity/Q58209937,history teacher,profession
http://www.wikidata.org/entity/Q3014296,motorcycle racer,person who for their profession or a hobby participates in competitions with a motorcycle
http://www.wikidata.org/entity/Q16271261,malacologist,scientist who studies molluscs
http://www.wikidata.org/entity/Q1502514,cooperative movement,
http://www.wikidata.org/entity/Q93429096,technical editor,Processing editor of a peer reviewed publication (exact role varies between journals)
http://www.wikidata.org/entity/Q11986654,lobbyist,person involved in lobbying
http://www.wikidata.org/entity/Q3406651,radio producer,person who supervises the production of a radio show
http://www.wikidata.org/entity/Q19607300,television columnist,
http://www.wikidata.org/entity/Q15978655,consultant,professional who provides advice in their specific field of expertise; for property consultant use Q124728671; for adviser who is part of leadership use Q2994387
http://www.wikidata.org/entity/Q59071295,Catholic propagandist,
http://www.wikidata.org/entity/Q22082717,eugenicist,researcher or promoter of eugenics
http://www.wikidata.org/entity/Q106675732,legal author,occupation
http://www.wikidata.org/entity/Q53457571,Zionist leader,
http://www.wikidata.org/entity/Q3408848,lay preacher,preacher who is not a member of the clergy
http://www.wikidata.org/entity/Q8354948,children's rights,human rights of children
http://www.wikidata.org/entity/Q1861368,tattoo artist,individual who injects tattoo ink
http://www.wikidata.org/entity/Q2505739,hispanist,scholar specialising in Hispanic studies
http://www.wikidata.org/entity/Q16023925,storyteller,one who tells stories (not a narrator)
http://www.wikidata.org/entity/Q913603,Bachelor of Social Work,entry-level degree in public welfare
http://www.wikidata.org/entity/Q11993231,Norwegian public servant,"defined within a national Norwegian context, this type of official is employed by the state at a lower level of government"
http://www.wikidata.org/entity/Q27943370,fashion person,person active in the world of fashion
http://www.wikidata.org/entity/Q2449921,drama teacher,"educator who teaches one or more aspects of drama (e.g., theatre history, acting, directing)"
http://www.wikidata.org/entity/Q3127709,harpist,musician who plays the harp
http://www.wikidata.org/entity/Q98552221,plastic artist,practitioner of plastic arts
http://www.wikidata.org/entity/Q19513109,Dutch language specialist,
http://www.wikidata.org/entity/Q3029404,hospital administrator,managerial position responsible for implementing policy and directing the activities of a hospital
http://www.wikidata.org/entity/Q357813,adjunct professor,academic title or rank typically indicating non-full time employment as a professor
http://www.wikidata.org/entity/Q28134462,transgender sex workers,
http://www.wikidata.org/entity/Q901,scientist,person who use scientific methods to study in an area of interest
http://www.wikidata.org/entity/Q1113838,climatologist,scientist who studies climate
http://www.wikidata.org/entity/Q1414937,combatant,person who takes a direct part in the hostilities of an armed conflict
http://www.wikidata.org/entity/Q29381289,user interface designer,person working in the field of user interface design
http://www.wikidata.org/entity/Q1108818,chartered accountant,occupation
http://www.wikidata.org/entity/Q816432,project manager,professional in the field of project management
http://www.wikidata.org/entity/Q19768301,market researcher,profession
